group,name,origin,destination,travelmode,why,source,notes,google_maps_directions_url
airport,ICN T1 to COEX,"Incheon Airport Terminal 1, 272 Gonghang-ro, Yeongjong-gu, Incheon","COEX Convention & Exhibition Center, 513 Yeongdong-daero, Gangnam-gu, Seoul",transit,Arrival route; compare 6103 bus and subway in live Google Maps.,Google Maps Directions URL; official transit anchors from COEX/CALT/IHG/VisitKorea,,https://www.google.com/maps/dir/?api=1&origin=Incheon+Airport+Terminal+1%2C+272+Gonghang-ro%2C+Yeongjong-gu%2C+Incheon&destination=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&travelmode=transit
airport,ICN T2 to COEX,"Incheon Airport Terminal 2, 446 Je2terminal-daero, Yeongjong-gu, Incheon","COEX Convention & Exhibition Center, 513 Yeongdong-daero, Gangnam-gu, Seoul",transit,Arrival route; terminal 2 bus/subway timing differs from terminal 1.,Google Maps Directions URL; official transit anchors from COEX/CALT/IHG/VisitKorea,,https://www.google.com/maps/dir/?api=1&origin=Incheon+Airport+Terminal+2%2C+446+Je2terminal-daero%2C+Yeongjong-gu%2C+Incheon&destination=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&travelmode=transit
airport,Gimpo Airport to COEX,Gimpo International Airport,"COEX Convention & Exhibition Center, 513 Yeongdong-daero, Gangnam-gu, Seoul",transit,Shorter airport route; Line 9/Line 2 options vary by time.,Google Maps Directions URL; official transit anchors from COEX/CALT/IHG/VisitKorea,,https://www.google.com/maps/dir/?api=1&origin=Gimpo+International+Airport&destination=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&travelmode=transit
venue_access,Samseong Station to COEX walk,"Samseong Station Exit 5, Seoul","COEX Convention & Exhibition Center, 513 Yeongdong-daero, Gangnam-gu, Seoul",walking,COEX official direct-access subway anchor.,Google Maps Directions URL; official transit anchors from COEX/CALT/IHG/VisitKorea,,https://www.google.com/maps/dir/?api=1&origin=Samseong+Station+Exit+5%2C+Seoul&destination=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&travelmode=walking
venue_access,Bongeunsa Station to COEX walk,"Bongeunsa Station Exit 7, Seoul","COEX Convention & Exhibition Center, 513 Yeongdong-daero, Gangnam-gu, Seoul",walking,Line 9 access via ASEM Plaza.,Google Maps Directions URL; official transit anchors from COEX/CALT/IHG/VisitKorea,,https://www.google.com/maps/dir/?api=1&origin=Bongeunsa+Station+Exit+7%2C+Seoul&destination=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&travelmode=walking
side_event_zone,COEX to Gangnam Station,"COEX Convention & Exhibition Center, 513 Yeongdong-daero, Gangnam-gu, Seoul","Gangnam Station, Seoul",transit,High-density dinner/meetup zone near many tech-company events.,Google Maps Directions URL; official transit anchors from COEX/CALT/IHG/VisitKorea,,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Gangnam+Station%2C+Seoul&travelmode=transit
side_event_zone,COEX to Sinnonhyeon Station,"COEX Convention & Exhibition Center, 513 Yeongdong-daero, Gangnam-gu, Seoul","Sinnonhyeon Station, Seoul",transit,Useful for Gangnam/Sinnonhyeon evening venues.,Google Maps Directions URL; official transit anchors from COEX/CALT/IHG/VisitKorea,,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Sinnonhyeon+Station%2C+Seoul&travelmode=transit
side_event_zone,COEX to Seongsu,"COEX Convention & Exhibition Center, 513 Yeongdong-daero, Gangnam-gu, Seoul","Seongsu Station, Seoul",transit,Cafe/brand-event zone; Line 2 route is usually simple.,Google Maps Directions URL; official transit anchors from COEX/CALT/IHG/VisitKorea,,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Seongsu+Station%2C+Seoul&travelmode=transit
side_event_zone,COEX to Hongdae,"COEX Convention & Exhibition Center, 513 Yeongdong-daero, Gangnam-gu, Seoul","Hongik University Station, Seoul",transit,Nightlife and Mapo/Hapjeong side-event fallback zone.,Google Maps Directions URL; official transit anchors from COEX/CALT/IHG/VisitKorea,,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Hongik+University+Station%2C+Seoul&travelmode=transit
side_event_zone,COEX to Itaewon,"COEX Convention & Exhibition Center, 513 Yeongdong-daero, Gangnam-gu, Seoul","Itaewon Station, Seoul",transit,Useful for Hannam/Hangangjin social venues; check late-night taxi option.,Google Maps Directions URL; official transit anchors from COEX/CALT/IHG/VisitKorea,,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Itaewon+Station%2C+Seoul&travelmode=transit
side_event_zone,COEX to Pangyo Techno Valley,"COEX Convention & Exhibition Center, 513 Yeongdong-daero, Gangnam-gu, Seoul","Pangyo Techno Valley, Seongnam",transit,Possible company-campus/offsite zone; requires a longer trip.,Google Maps Directions URL; official transit anchors from COEX/CALT/IHG/VisitKorea,,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Pangyo+Techno+Valley%2C+Seongnam&travelmode=transit
known_side_event,COEX to OpenAI Codex Meetup,"COEX Convention & Exhibition Center, 513 Yeongdong-daero, Gangnam-gu, Seoul","Yeoksam-ro, Gangnam-gu, Seoul",transit,Public RSVP page exposes only an obfuscated area; replace destination with the registered attendee address.,Luma detail obfuscated location; Google Maps Directions URL,,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Yeoksam-ro%2C+Gangnam-gu%2C+Seoul&travelmode=transit
known_side_event,COEX to VESSL AI dinner,"COEX Convention & Exhibition Center, 513 Yeongdong-daero, Gangnam-gu, Seoul","Dosan-daero 81-gil, Gangnam-gu, Seoul",transit,Public RSVP page exposes only an obfuscated area; replace destination with the registered attendee address.,Luma detail obfuscated location; Google Maps Directions URL,,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Dosan-daero+81-gil%2C+Gangnam-gu%2C+Seoul&travelmode=transit
known_side_event,COEX to Hugging Face Seoul Meetup,"COEX Convention & Exhibition Center, 513 Yeongdong-daero, Gangnam-gu, Seoul","Yeoksam-dong, Gangnam-gu, Seoul",transit,Public RSVP page exposes only an obfuscated area; replace destination with the registered attendee address.,Luma detail obfuscated location; Google Maps Directions URL,,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Yeoksam-dong%2C+Gangnam-gu%2C+Seoul&travelmode=transit
known_side_event,COEX to Google DeepMind x GDG,"COEX Convention & Exhibition Center, 513 Yeongdong-daero, Gangnam-gu, Seoul","Gangnam Finance Center 24F, 152 Teheran-ro, Gangnam-gu, Seoul",transit,Known public event address from GDG event page.,GDG public event address; Google Maps Directions URL,,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Gangnam+Finance+Center+24F%2C+152+Teheran-ro%2C+Gangnam-gu%2C+Seoul&travelmode=transit
