id,category,zh,en,ko_note,latitude,longitude,google_maps_query,note_zh,note_en,label,google_maps_url
coex,venue,COEX 会场,COEX venue,코엑스,37.5118,127.0592,"COEX Convention & Exhibition Center, 513 Yeongdong-daero, Gangnam-gu, Seoul",主会场与默认出发点。,Main venue and default origin.,COEX 会场 / COEX venue (코엑스),https://www.google.com/maps/search/?api=1&query=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul
parnas,hotel,Parnas 酒店区,Parnas hotel area,,37.5089,127.0611,"Grand InterContinental Seoul Parnas, 521 Teheran-ro, Seoul",会场酒店与餐饮锚点。,Hotel and food anchor next to COEX.,Parnas 酒店区 / Parnas hotel area,https://www.google.com/maps/search/?api=1&query=Grand+InterContinental+Seoul+Parnas%2C+521+Teheran-ro%2C+Seoul
coex_mall,nearby,COEX Mall,Starfield COEX Mall,스타필드 코엑스몰,37.511,127.0607,"Starfield COEX Mall, Seoul",COEX 地下补给主轴，吃饭、咖啡、雨天动线都在这里。,"Main underground supply zone for food, coffee, and rain-safe movement.",COEX Mall / Starfield COEX Mall (스타필드 코엑스몰),https://www.google.com/maps/search/?api=1&query=Starfield+COEX+Mall%2C+Seoul
starfield_library,nearby,星空图书馆,Starfield Library,별마당도서관,37.5103,127.0597,"Starfield Library, Seoul",会场内好找的集合点和短休息点。,Easy indoor landmark for meeting up and short breaks.,星空图书馆 / Starfield Library (별마당도서관),https://www.google.com/maps/search/?api=1&query=Starfield+Library%2C+Seoul
coex_aquarium,nearby,COEX Aquarium,SEA LIFE COEX Aquarium,코엑스 아쿠아리움,37.5121,127.0577,"SEA LIFE COEX, Seoul",雨天或空档时的室内备选。,Indoor fallback for weather or awkward schedule gaps.,COEX Aquarium / SEA LIFE COEX Aquarium (코엑스 아쿠아리움),https://www.google.com/maps/search/?api=1&query=SEA+LIFE+COEX%2C+Seoul
bongeunsa_temple,nearby,奉恩寺,Bongeunsa Temple,봉은사,37.5153,127.057,"Bongeunsa Temple, Seoul",COEX 北侧安静短走点。,Quiet short-walk option directly north of COEX.,奉恩寺 / Bongeunsa Temple (봉은사),https://www.google.com/maps/search/?api=1&query=Bongeunsa+Temple%2C+Seoul
provista,hotel,普罗威斯塔酒店,Provista Hotel,,37.4932,127.0157,"Hotel Provista Seoul, 338 Seocho-daero, Seocho-gu, Seoul 06632","住处：338 Seocho-daero, Seocho-gu, Seoul 06632。","Hotel base: 338 Seocho-daero, Seocho-gu, Seoul 06632.",普罗威斯塔酒店 / Provista Hotel,https://www.google.com/maps/search/?api=1&query=Hotel+Provista+Seoul%2C+338+Seocho-daero%2C+Seocho-gu%2C+Seoul+06632
samseong,station,三成站,Samseong Station,삼성,37.5088,127.0631,"Samseong Station Exit 5, Seoul",Line 2，COEX 官方建议 5/6 号出口。,Line 2; COEX recommends exits 5/6.,三成站 / Samseong Station (삼성),https://www.google.com/maps/search/?api=1&query=Samseong+Station+Exit+5%2C+Seoul
bongeunsa,station,奉恩寺站,Bongeunsa Station,봉은사,37.5142,127.0602,"Bongeunsa Station Exit 7, Seoul",Line 9，COEX 官方建议 7 号出口。,Line 9; COEX recommends exit 7.,奉恩寺站 / Bongeunsa Station (봉은사),https://www.google.com/maps/search/?api=1&query=Bongeunsa+Station+Exit+7%2C+Seoul
gangnam,zone,江南站,Gangnam Station,강남,37.4979,127.0276,"Gangnam Station, Seoul",晚宴、meetup、饭局高密度区域。,High-density dinner and meetup area.,江南站 / Gangnam Station (강남),https://www.google.com/maps/search/?api=1&query=Gangnam+Station%2C+Seoul
yeoksam,zone,驿三区域,Yeoksam area,역삼,37.5013,127.0396,"Yeoksam-ro, Gangnam-gu, Seoul",OpenAI/Hugging Face 等活动公开页只到区域级。,Some RSVP pages expose only this obfuscated area.,驿三区域 / Yeoksam area (역삼),https://www.google.com/maps/search/?api=1&query=Yeoksam-ro%2C+Gangnam-gu%2C+Seoul
gfc,event,江南金融中心,Gangnam Finance Center,,37.5002,127.0364,"Gangnam Finance Center 24F, 152 Teheran-ro, Gangnam-gu, Seoul",Google DeepMind x GDG 活动公开地址。,Public address for the Google DeepMind x GDG event.,江南金融中心 / Gangnam Finance Center,https://www.google.com/maps/search/?api=1&query=Gangnam+Finance+Center+24F%2C+152+Teheran-ro%2C+Gangnam-gu%2C+Seoul
dosan,zone,岛山大路 81 街区域,Dosan-daero 81-gil area,,37.528,127.047,"Dosan-daero 81-gil, Gangnam-gu, Seoul",VESSL 晚宴公开页只到区域级。,VESSL dinner public page exposes only an obfuscated area.,岛山大路 81 街区域 / Dosan-daero 81-gil area,https://www.google.com/maps/search/?api=1&query=Dosan-daero+81-gil%2C+Gangnam-gu%2C+Seoul
seongsu,zone,圣水,Seongsu,성수,37.5446,127.0559,"Seongsu Station, Seoul",咖啡、品牌空间、轻松半日行程。,Cafe and brand-space zone for a lighter half day.,圣水 / Seongsu (성수),https://www.google.com/maps/search/?api=1&query=Seongsu+Station%2C+Seoul
seoul_forest,nearby,首尔林,Seoul Forest,서울숲,37.5444,127.0374,"Seoul Forest, Seoul",可和圣水一起安排。,Pair with Seongsu rather than a separate trip.,首尔林 / Seoul Forest (서울숲),https://www.google.com/maps/search/?api=1&query=Seoul+Forest%2C+Seoul
hongdae,zone,弘大,Hongdae,홍대,37.5572,126.9245,"Hongik University Station, Seoul",夜生活备选，不适合短午休。,Nightlife fallback; not ideal for a short lunch gap.,弘大 / Hongdae (홍대),https://www.google.com/maps/search/?api=1&query=Hongik+University+Station%2C+Seoul
itaewon,zone,梨泰院,Itaewon,이태원,37.5345,126.9946,"Itaewon Station, Seoul",晚餐、酒吧、Hannam/Hangangjin 方向。,"Dinner, bars, Hannam/Hangangjin direction.",梨泰院 / Itaewon (이태원),https://www.google.com/maps/search/?api=1&query=Itaewon+Station%2C+Seoul
gimpo,airport,金浦机场换乘,Gimpo transfer,김포,37.5587,126.7945,Gimpo International Airport Station,AREX 换乘 Line 9 的节点。,Transfer from AREX to Line 9.,金浦机场换乘 / Gimpo transfer (김포),https://www.google.com/maps/search/?api=1&query=Gimpo+International+Airport+Station
incheon_t1,airport,仁川机场 T1,Incheon Airport T1,인천,37.4602,126.4407,"Incheon Airport Terminal 1, 272 Gonghang-ro, Yeongjong-gu, Incheon",国际到达，注意 T1/T2。,International arrival; confirm T1/T2.,仁川机场 T1 / Incheon Airport T1 (인천),https://www.google.com/maps/search/?api=1&query=Incheon+Airport+Terminal+1%2C+272+Gonghang-ro%2C+Yeongjong-gu%2C+Incheon
pangyo,zone,板桥科技谷,Pangyo Techno Valley,판교,37.3947,127.1112,"Pangyo Techno Valley, Seongnam",较远的公司/园区活动方向。,Longer offsite company-campus direction.,板桥科技谷 / Pangyo Techno Valley (판교),https://www.google.com/maps/search/?api=1&query=Pangyo+Techno+Valley%2C+Seongnam
